name,url,code,pinyin
普宁,//www.zhaopin.com/puning/,3404,puning
萍乡,//www.zhaopin.com/pingxiang/,693,pingxiang
攀枝花,//www.zhaopin.com/panzhihua/,803,panzhihua
平度,//www.zhaopin.com/pingdu/,2162,pingdu
平湖,//jobs.zhaopin.com/jiaxing_re3379/,10052,pinghu
平凉,//www.zhaopin.com/pingliang/,871,pingliang
普洱,//www.zhaopin.com/puer/,10163,puer
葡萄牙,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=515&sm=0&p=1&sf=0,515,putaoya
青岛,//www.zhaopin.com/qingdao/,703,qingdao
秦皇岛,//www.zhaopin.com/qinhuangdao/,567,qinhuangdao
青海,//www.zhaopin.com/qinghai/,558,qinghai
清远,//www.zhaopin.com/qingyuan/,778,qingyuan
泉州,//www.zhaopin.com/quanzhou/,685,quanzhou
齐齐哈尔,//www.zhaopin.com/qiqihaer/,623,qiqihaer
曲靖,//www.zhaopin.com/qujing/,832,qujing
衢州,//www.zhaopin.com/quzhou/,660,quzhou
黔西南,//www.zhaopin.com/qianxinan/,827,qianxinan
七台河,//www.zhaopin.com/qitaihe/,630,qitaihe
启东,//jobs.zhaopin.com/nantong_re3395/,10136,qidong
潜江,//www.zhaopin.com/qianjiang/,10169,qianjiang
黔东南,//www.zhaopin.com/qiandongnan/,829,qiandongnan
黔南,//www.zhaopin.com/qiannan/,830,qiannan
钦州,//www.zhaopin.com/qinzhou/,791,qinzhou
庆阳,//www.zhaopin.com/qingyang/,873,qingyang
琼海,//www.zhaopin.com/qionghai/,10153,qionghai
琼中,//jobs.zhaopin.com/qiongzhonglizumiaozuzizhi/,10192,qiongzhong
泉港区,//jobs.zhaopin.com/quanzhou_re3400/,686,quangangqu
其他国家,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=512&sm=0&p=1&sf=0,512,qitaguojia
日照,//www.zhaopin.com/rizhao/,712,rizhao
日喀则,//www.zhaopin.com/rikeze/,850,rikaze
